ID_Chamado,Usuario,Departamento,Data_Abertura,Data_Fechamento,Categoria,Subcategoria,Canal_Atendimento,Prioridade,Status,Tecnico,Tempo_Resolucao_Horas,Dentro_SLA,Nota_CSAT
CH00027,Josué Souza,Financeiro,2026-04-12 14:40:02,2026-04-14 04:22:02,Acessos,Reset de senha AD,Portal de TI,Média,Resolvido,Bruno Costa,37.7,Não,4.0
CH00028,Julia Souza,Operações,2026-05-11 09:32:04,2026-05-12 11:50:04,Redes,Wi-Fi instável,Telefone,Média,Reaberto,Bruno Costa,26.3,Não,4.0
CH00029,Maria Liz Fonseca,Operações,2026-05-13 15:38:09,,Hardware,Computador não liga,WhatsApp,Média,Em andamento,Bruno Costa,,Pendente,
CH00030,Thomas Monteiro,RH,2026-04-08 04:30:22,2026-04-09 08:06:22,Redes,Lentidão na VPN,Telefone,Alta,Resolvido,Carlos Souza,27.6,Não,5.0
CH00031,Daniel Cassiano,Comercial,2026-03-26 17:17:10,2026-03-28 03:47:10,Acessos,Reset de senha AD,Telefone,Baixa,Fechado,Carlos Souza,34.5,Não,5.0
CH00032,Mariana Peixoto,Operações,2026-04-02 10:14:13,2026-04-02 11:08:13,Redes,Wi-Fi instável,E-mail,Alta,Fechado,Carlos Souza,0.9,Sim,4.0
CH00033,Maria Helena Peixoto,Comercial,2026-03-24 01:28:56,,Redes,Wi-Fi instável,Portal de TI,Baixa,Em andamento,Bruno Costa,,Pendente,
CH00034,Isis Novaes,Operações,2026-05-02 08:05:14,2026-05-02 22:59:14,Redes,Lentidão na VPN,Portal de TI,Média,Resolvido,Ana Silva,14.9,Sim,1.0
CH00035,Bruna Rodrigues,Comercial,2026-03-19 00:12:16,2026-03-19 06:12:16,Hardware,Impressora travada,E-mail,Baixa,Fechado,Carlos Souza,6.0,Sim,5.0
CH00036,Luigi Camargo,Logística,2026-05-09 00:41:00,2026-05-09 13:41:00,Redes,Wi-Fi instável,Portal de TI,Média,Resolvido,Ana Silva,13.0,Sim,5.0
CH00037,Eduarda Marques,Logística,2026-04-15 09:21:24,,Software/ERP,Erro ao emitir nota,Telefone,Média,Em andamento,Ana Silva,,Pendente,
CH00038,Dra. Julia Montenegro,RH,2026-03-18 05:00:50,,Hardware,Teclado com defeito,Portal de TI,Alta,Em andamento,Bruno Costa,,Pendente,
CH00039,Bianca Pires,Financeiro,2026-04-04 05:44:27,2026-04-04 23:32:27,Redes,Cabo de rede desconectado,E-mail,Baixa,Resolvido,Ana Silva,17.8,Sim,2.0
CH00040,Sofia Pereira,Financeiro,2026-04-15 20:52:43,2026-04-17 14:52:43,Hardware,Computador não liga,E-mail,Média,Resolvido,Daniela Lima,42.0,Não,1.0
CH00041,Marcelo Teixeira,Financeiro,2026-04-06 04:56:54,,Software/ERP,Acesso negado no sistema,Portal de TI,Média,Em andamento,Bruno Costa,,Pendente,
CH00042,Vitória Abreu,Logística,2026-04-02 13:53:18,2026-04-04 07:47:18,Hardware,Computador não liga,Portal de TI,Baixa,Fechado,Carlos Souza,41.9,Não,3.0
CH00043,Dr. Antony Camargo,Comercial,2026-05-15 01:05:38,2026-05-15 12:11:38,Acessos,Permissão de pasta em rede,WhatsApp,Alta,Fechado,Carlos Souza,11.1,Não,4.0
CH00044,Isaque Araújo,RH,2026-04-22 03:15:30,2026-04-23 12:03:30,Software/ERP,Erro ao emitir nota,Portal de TI,Média,Resolvido,Bruno Costa,32.8,Não,4.0
CH00045,Anna Liz Barros,Comercial,2026-04-10 06:43:24,2026-04-10 09:01:24,Software/ERP,Instalação de software,Telefone,Crítica,Resolvido,Ana Silva,2.3,Sim,5.0
CH00046,Vitor Vargas,Operações,2026-05-04 01:53:30,2026-05-04 14:29:30,Redes,Lentidão na VPN,E-mail,Média,Resolvido,Carlos Souza,12.6,Sim,4.0
CH00047,Renan Novaes,Comercial,2026-03-30 02:29:42,2026-03-31 22:41:42,Redes,Lentidão na VPN,Portal de TI,Alta,Resolvido,Daniela Lima,44.2,Não,4.0
CH00048,Vinícius Pereira,Financeiro,2026-04-02 22:13:32,2026-04-04 01:01:32,Acessos,Criar novo usuário,Portal de TI,Média,Resolvido,Daniela Lima,26.8,Não,5.0
CH00049,Vitor Hugo Sá,Logística,2026-04-27 23:26:05,2026-04-28 13:32:05,Software/ERP,Acesso negado no sistema,Telefone,Baixa,Resolvido,Bruno Costa,14.1,Sim,5.0
CH00050,Sra. Maria Liz Rios,Operações,2026-04-06 10:10:04,2026-04-08 08:16:04,Redes,Cabo de rede desconectado,Portal de TI,Média,Resolvido,Ana Silva,46.1,Não,4.0
CH00051,Stella Machado,RH,2026-04-23 03:35:05,2026-04-24 12:05:05,Hardware,Computador não liga,WhatsApp,Média,Fechado,Bruno Costa,32.5,Não,5.0
CH00052,Henry Gabriel Azevedo,Logística,2026-03-29 15:24:43,2026-03-31 04:24:43,Hardware,Teclado com defeito,Telefone,Média,Reaberto,Daniela Lima,37.0,Não,5.0
CH00053,Yuri da Conceição,Financeiro,2026-04-19 17:14:54,2026-04-19 18:02:54,Redes,Cabo de rede desconectado,E-mail,Média,Resolvido,Daniela Lima,0.8,Sim,4.0
CH00054,André Barbosa,Financeiro,2026-05-14 00:37:00,,Redes,Cabo de rede desconectado,Telefone,Baixa,Em andamento,Carlos Souza,,Pendente,
CH00055,Bernardo Andrade,Logística,2026-03-23 14:38:15,2026-03-24 20:14:15,Acessos,Criar novo usuário,E-mail,Alta,Reaberto,Daniela Lima,29.6,Não,4.0
CH00056,Théo da Costa,Financeiro,2026-04-18 23:24:22,2026-04-20 15:48:22,Acessos,Criar novo usuário,Portal de TI,Média,Resolvido,Daniela Lima,40.4,Não,5.0
CH00057,Raquel Cunha,Comercial,2026-04-13 22:21:03,,Software/ERP,Acesso negado no sistema,WhatsApp,Baixa,Em andamento,Bruno Costa,,Pendente,
CH00058,Renan da Cruz,Comercial,2026-05-09 05:57:29,2026-05-09 13:45:29,Acessos,Permissão de pasta em rede,Telefone,Baixa,Resolvido,Daniela Lima,7.8,Sim,5.0
CH00059,Esther Brito,RH,2026-05-02 19:33:31,,Acessos,Criar novo usuário,Telefone,Alta,Em andamento,Daniela Lima,,Pendente,
CH00060,Marina Fogaça,Operações,2026-03-27 07:19:01,,Acessos,Permissão de pasta em rede,E-mail,Baixa,Em andamento,Daniela Lima,,Pendente,
CH00061,Nina Siqueira,Financeiro,2026-04-28 00:27:42,2026-04-28 02:21:42,Acessos,Criar novo usuário,Telefone,Média,Resolvido,Bruno Costa,1.9,Sim,5.0
CH00062,Beatriz Araújo,Logística,2026-03-23 03:40:47,2026-03-24 23:16:47,Redes,Wi-Fi instável,E-mail,Média,Reaberto,Daniela Lima,43.6,Não,5.0
CH00063,Sra. Bianca da Cruz,Comercial,2026-04-25 23:37:39,2026-04-26 15:37:39,Software/ERP,Acesso negado no sistema,Telefone,Baixa,Resolvido,Carlos Souza,16.0,Sim,5.0
CH00064,Vitor Gabriel Machado,RH,2026-04-05 11:53:21,2026-04-06 23:59:21,Software/ERP,Erro ao emitir nota,WhatsApp,Média,Fechado,Ana Silva,36.1,Não,5.0
CH00065,Emilly da Mota,RH,2026-03-31 12:06:01,2026-03-31 13:36:01,Hardware,Impressora travada,E-mail,Baixa,Fechado,Daniela Lima,1.5,Sim,5.0
CH00066,Breno Macedo,Comercial,2026-05-01 19:27:12,2026-05-02 03:57:12,Redes,Wi-Fi instável,WhatsApp,Média,Resolvido,Ana Silva,8.5,Sim,4.0
CH00067,Benicio Rezende,Operações,2026-05-10 07:48:10,2026-05-12 03:24:10,Hardware,Computador não liga,E-mail,Média,Fechado,Ana Silva,43.6,Não,5.0
CH00068,Caleb Sá,Operações,2026-05-09 09:06:47,2026-05-10 18:06:47,Redes,Cabo de rede desconectado,Telefone,Baixa,Resolvido,Carlos Souza,33.0,Não,4.0
CH00069,Nicolas Mendonça,Logística,2026-04-09 20:15:21,,Redes,Cabo de rede desconectado,WhatsApp,Média,Em andamento,Daniela Lima,,Pendente,
CH00070,Murilo Araújo,Operações,2026-05-03 15:05:54,2026-05-05 06:59:54,Acessos,Reset de senha AD,Portal de TI,Média,Reaberto,Daniela Lima,39.9,Não,4.0
CH00071,Agatha Gomes,Comercial,2026-04-02 21:05:03,2026-04-04 01:41:03,Hardware,Computador não liga,Telefone,Alta,Resolvido,Bruno Costa,28.6,Não,5.0
CH00072,Laura Lima,Financeiro,2026-04-12 15:25:11,2026-04-13 23:37:11,Acessos,Permissão de pasta em rede,Telefone,Média,Fechado,Bruno Costa,32.2,Não,5.0
CH00073,Raquel Cassiano,RH,2026-05-10 20:29:09,2026-05-11 10:17:09,Software/ERP,Instalação de software,E-mail,Baixa,Resolvido,Ana Silva,13.8,Sim,5.0
CH00074,Henrique Araújo,Logística,2026-04-05 07:56:45,2026-04-06 10:50:45,Acessos,Criar novo usuário,Telefone,Média,Resolvido,Ana Silva,26.9,Não,5.0
CH00075,Dra. Ana Liz Souza,Operações,2026-05-13 03:02:23,,Hardware,Impressora travada,Portal de TI,Baixa,Em andamento,Daniela Lima,,Pendente,
CH00076,Benicio Pacheco,Logística,2026-04-17 08:12:14,2026-04-19 08:00:14,Software/ERP,Instalação de software,Portal de TI,Baixa,Resolvido,Carlos Souza,47.8,Não,5.0
CH00077,Vitória Castro,Financeiro,2026-05-03 04:26:58,2026-05-03 14:02:58,Hardware,Computador não liga,Telefone,Baixa,Resolvido,Carlos Souza,9.6,Sim,5.0
CH00078,Anna Liz Cirino,Comercial,2026-03-23 09:59:27,2026-03-24 11:23:27,Redes,Wi-Fi instável,E-mail,Crítica,Fechado,Carlos Souza,25.4,Não,5.0
CH00079,Ana Lívia Rocha,Comercial,2026-03-24 13:07:05,2026-03-25 15:01:05,Redes,Lentidão na VPN,E-mail,Baixa,Resolvido,Daniela Lima,25.9,Não,5.0
CH00080,Bárbara Nunes,Logística,2026-04-09 17:31:00,,Software/ERP,Acesso negado no sistema,Telefone,Baixa,Em andamento,Carlos Souza,,Pendente,
CH00081,Ana Cecília Pinto,Logística,2026-04-10 19:10:31,2026-04-12 16:22:31,Redes,Cabo de rede desconectado,WhatsApp,Baixa,Resolvido,Ana Silva,45.2,Não,5.0
CH00082,Stephany Dias,Operações,2026-03-25 20:29:13,2026-03-27 18:05:13,Hardware,Computador não liga,Telefone,Alta,Resolvido,Bruno Costa,45.6,Não,5.0
CH00083,Levi da Costa,Operações,2026-04-12 05:04:48,2026-04-14 00:46:48,Acessos,Permissão de pasta em rede,WhatsApp,Baixa,Fechado,Ana Silva,43.7,Não,5.0
CH00084,Caroline Rios,Financeiro,2026-04-12 16:22:43,2026-04-13 02:52:43,Hardware,Computador não liga,WhatsApp,Baixa,Fechado,Bruno Costa,10.5,Sim,4.0
CH00085,Luara Sá,RH,2026-04-16 00:29:44,,Acessos,Permissão de pasta em rede,E-mail,Média,Em andamento,Carlos Souza,,Pendente,
CH00086,Raul Pinto,Operações,2026-03-24 22:29:22,2026-03-25 20:35:22,Software/ERP,Instalação de software,E-mail,Média,Fechado,Daniela Lima,22.1,Sim,4.0
CH00087,Brayan Nascimento,Financeiro,2026-05-11 13:19:19,,Hardware,Impressora travada,WhatsApp,Baixa,Em andamento,Ana Silva,,Pendente,
CH00088,Julia Cardoso,RH,2026-04-07 14:08:14,2026-04-09 02:14:14,Software/ERP,Acesso negado no sistema,Telefone,Baixa,Resolvido,Carlos Souza,36.1,Não,5.0
CH00089,Joaquim Freitas,RH,2026-04-20 18:42:05,2026-04-21 19:00:05,Redes,Lentidão na VPN,Telefone,Alta,Resolvido,Carlos Souza,24.3,Não,5.0
CH00090,Pedro Lucas Nogueira,Comercial,2026-04-14 13:31:14,2026-04-15 00:55:14,Redes,Lentidão na VPN,WhatsApp,Baixa,Resolvido,Bruno Costa,11.4,Sim,4.0
CH00091,Vitória Albuquerque,Logística,2026-04-16 06:22:04,2026-04-18 02:22:04,Acessos,Criar novo usuário,WhatsApp,Média,Resolvido,Daniela Lima,44.0,Não,5.0
CH00092,Cauã Carvalho,Logística,2026-05-10 17:46:08,2026-05-12 02:04:08,Software/ERP,Acesso negado no sistema,Portal de TI,Baixa,Resolvido,Daniela Lima,32.3,Não,3.0
CH00093,Cauê Souza,Logística,2026-04-12 13:42:07,2026-04-13 11:48:07,Software/ERP,Erro ao emitir nota,WhatsApp,Média,Fechado,Daniela Lima,22.1,Sim,5.0
CH00094,João Gabriel da Paz,Financeiro,2026-05-10 14:33:23,2026-05-11 08:15:23,Acessos,Reset de senha AD,Portal de TI,Baixa,Resolvido,Bruno Costa,17.7,Sim,4.0
CH00095,Luigi Costela,Financeiro,2026-05-15 14:48:27,2026-05-17 00:30:27,Hardware,Teclado com defeito,Portal de TI,Média,Fechado,Ana Silva,33.7,Não,5.0
CH00096,Rebeca da Cunha,Financeiro,2026-04-12 12:34:44,2026-04-14 12:10:44,Acessos,Reset de senha AD,Telefone,Baixa,Resolvido,Carlos Souza,47.6,Não,3.0
CH00097,Otávio da Mota,Operações,2026-03-22 19:49:19,2026-03-24 11:55:19,Hardware,Impressora travada,E-mail,Baixa,Resolvido,Daniela Lima,40.1,Não,1.0
CH00098,Lucas Gabriel Vargas,Logística,2026-03-22 04:10:53,2026-03-23 16:04:53,Redes,Cabo de rede desconectado,Portal de TI,Média,Resolvido,Carlos Souza,35.9,Não,5.0
CH00099,Julia Castro,Logística,2026-03-30 14:17:01,2026-03-31 04:59:01,Acessos,Reset de senha AD,Telefone,Baixa,Fechado,Carlos Souza,14.7,Sim,5.0
CH00100,Mariane Novais,Financeiro,2026-04-29 19:00:11,2026-04-30 13:24:11,Hardware,Teclado com defeito,Telefone,Média,Resolvido,Bruno Costa,18.4,Sim,2.0
CH00101,Breno Sales,Financeiro,2026-03-18 19:59:02,2026-03-19 11:35:02,Acessos,Permissão de pasta em rede,Telefone,Média,Fechado,Ana Silva,15.6,Sim,5.0
CH00102,Ana Carolina Freitas,Logística,2026-04-01 08:46:24,,Software/ERP,Erro ao emitir nota,WhatsApp,Crítica,Em andamento,Daniela Lima,,Pendente,
CH00103,Clara Lopes,Logística,2026-05-13 10:47:51,,Hardware,Computador não liga,Portal de TI,Baixa,Em andamento,Carlos Souza,,Pendente,
CH00104,Leandro Fonseca,Logística,2026-03-30 06:25:17,2026-03-30 10:43:17,Acessos,Permissão de pasta em rede,WhatsApp,Baixa,Resolvido,Ana Silva,4.3,Sim,5.0
CH00105,Sr. Josué Rios,RH,2026-03-21 18:24:49,2026-03-22 08:36:49,Redes,Cabo de rede desconectado,WhatsApp,Média,Resolvido,Daniela Lima,14.2,Sim,5.0
CH00106,Dr. Eduardo da Costa,Comercial,2026-03-27 20:58:42,2026-03-27 22:52:42,Redes,Cabo de rede desconectado,Portal de TI,Baixa,Resolvido,Daniela Lima,1.9,Sim,5.0
CH00107,Noah Alves,Financeiro,2026-04-02 16:06:30,,Hardware,Computador não liga,WhatsApp,Média,Em andamento,Daniela Lima,,Pendente,
CH00108,Sra. Maria Sophia Rios,Comercial,2026-04-04 07:23:33,2026-04-06 03:17:33,Acessos,Criar novo usuário,Telefone,Baixa,Resolvido,Carlos Souza,43.9,Não,5.0
CH00109,Emanuel Viana,Logística,2026-04-10 23:43:24,2026-04-11 22:19:24,Hardware,Computador não liga,Portal de TI,Alta,Resolvido,Carlos Souza,22.6,Não,5.0
CH00110,Ana Carolina Melo,Logística,2026-03-28 09:19:58,2026-03-28 21:43:58,Hardware,Impressora travada,WhatsApp,Média,Resolvido,Bruno Costa,12.4,Sim,4.0
CH00111,Raul Ferreira,Logística,2026-04-08 11:45:36,2026-04-09 02:21:36,Redes,Lentidão na VPN,Portal de TI,Baixa,Resolvido,Ana Silva,14.6,Sim,4.0
CH00112,Henry Gabriel Alves,Financeiro,2026-04-16 12:35:53,2026-04-18 00:29:53,Acessos,Permissão de pasta em rede,Portal de TI,Média,Resolvido,Bruno Costa,35.9,Não,5.0
CH00113,Luísa da Mota,RH,2026-04-05 15:28:37,2026-04-07 00:10:37,Hardware,Teclado com defeito,WhatsApp,Média,Resolvido,Carlos Souza,32.7,Não,4.0
CH00114,Luiz Fernando Ramos,Logística,2026-03-24 15:12:50,2026-03-25 09:00:50,Software/ERP,Acesso negado no sistema,E-mail,Baixa,Fechado,Bruno Costa,17.8,Sim,5.0
CH00115,Zoe Farias,Operações,2026-05-06 08:27:11,,Software/ERP,Instalação de software,Portal de TI,Média,Em andamento,Bruno Costa,,Pendente,
CH00116,José Pedro Cavalcanti,Logística,2026-03-20 13:45:57,2026-03-21 13:09:57,Software/ERP,Erro ao emitir nota,WhatsApp,Alta,Resolvido,Bruno Costa,23.4,Não,4.0
CH00117,Arthur Miguel Caldeira,Comercial,2026-05-13 06:19:26,2026-05-14 14:55:26,Acessos,Criar novo usuário,WhatsApp,Baixa,Fechado,Daniela Lima,32.6,Não,4.0
CH00118,Manuella Siqueira,Comercial,2026-05-14 19:33:49,,Acessos,Permissão de pasta em rede,Telefone,Média,Em andamento,Carlos Souza,,Pendente,
CH00119,Sophia Camargo,Operações,2026-04-17 08:22:23,,Redes,Lentidão na VPN,Portal de TI,Baixa,Em andamento,Bruno Costa,,Pendente,
CH00120,Esther da Cunha,Financeiro,2026-04-24 07:01:20,2026-04-25 05:37:20,Acessos,Reset de senha AD,WhatsApp,Média,Resolvido,Ana Silva,22.6,Sim,4.0
CH00121,Sra. Agatha Moreira,Logística,2026-03-22 04:52:48,2026-03-22 09:58:48,Hardware,Impressora travada,Portal de TI,Média,Resolvido,Daniela Lima,5.1,Sim,3.0
CH00122,Fernanda Fonseca,Logística,2026-05-09 04:08:09,2026-05-10 22:44:09,Acessos,Criar novo usuário,Portal de TI,Média,Resolvido,Ana Silva,42.6,Não,4.0
CH00123,Lucas Pinto,Comercial,2026-04-28 18:26:51,2026-04-29 16:02:51,Software/ERP,Erro ao emitir nota,Portal de TI,Baixa,Resolvido,Ana Silva,21.6,Sim,5.0
CH00124,Camila Silveira,Financeiro,2026-04-17 08:55:42,2026-04-17 15:13:42,Acessos,Reset de senha AD,WhatsApp,Baixa,Resolvido,Ana Silva,6.3,Sim,4.0
CH00125,Luana Rios,Financeiro,2026-04-16 01:15:12,2026-04-16 07:45:12,Redes,Lentidão na VPN,E-mail,Baixa,Fechado,Bruno Costa,6.5,Sim,5.0
CH00126,Dr. Juan Novaes,Operações,2026-04-26 13:04:35,2026-04-28 08:22:35,Hardware,Computador não liga,Portal de TI,Baixa,Resolvido,Bruno Costa,43.3,Não,5.0
CH00127,Otto Rios,Comercial,2026-03-30 06:03:14,,Hardware,Computador não liga,E-mail,Alta,Em andamento,Carlos Souza,,Pendente,
CH00128,Emanuella Pimenta,Logística,2026-04-23 16:55:28,,Hardware,Teclado com defeito,WhatsApp,Baixa,Em andamento,Ana Silva,,Pendente,
CH00129,Nathan Novaes,RH,2026-05-12 03:33:47,2026-05-13 04:27:47,Hardware,Teclado com defeito,Portal de TI,Média,Resolvido,Daniela Lima,24.9,Não,5.0
CH00130,João Pedro Costela,RH,2026-03-17 22:23:52,2026-03-19 22:17:52,Acessos,Criar novo usuário,Telefone,Baixa,Resolvido,Daniela Lima,47.9,Não,4.0
CH00131,Luna Martins,Financeiro,2026-04-28 15:09:50,,Hardware,Computador não liga,Portal de TI,Baixa,Em andamento,Carlos Souza,,Pendente,
CH00132,Hadassa Moraes,RH,2026-04-29 18:53:16,2026-04-30 09:23:16,Acessos,Reset de senha AD,E-mail,Média,Resolvido,Daniela Lima,14.5,Sim,5.0
CH00133,Srta. Antonella da Paz,RH,2026-05-02 20:03:20,2026-05-03 12:39:20,Acessos,Criar novo usuário,Portal de TI,Baixa,Resolvido,Daniela Lima,16.6,Sim,5.0
CH00134,Lívia Borges,RH,2026-05-06 22:32:31,2026-05-08 20:20:31,Acessos,Reset de senha AD,WhatsApp,Baixa,Resolvido,Ana Silva,45.8,Não,4.0
CH00135,Luana Câmara,Operações,2026-04-09 16:44:07,2026-04-10 10:56:07,Redes,Lentidão na VPN,Portal de TI,Média,Resolvido,Ana Silva,18.2,Sim,5.0
CH00136,Apollo Aparecida,Operações,2026-04-06 05:27:29,2026-04-08 02:39:29,Redes,Cabo de rede desconectado,Portal de TI,Alta,Resolvido,Carlos Souza,45.2,Não,5.0
CH00137,Ana Sophia Marques,Logística,2026-04-10 15:58:35,,Hardware,Teclado com defeito,E-mail,Média,Em andamento,Ana Silva,,Pendente,
CH00138,Evelyn Silva,Operações,2026-04-27 03:10:10,2026-04-27 09:10:10,Hardware,Impressora travada,WhatsApp,Média,Resolvido,Carlos Souza,6.0,Sim,5.0
CH00139,Maria Liz da Cruz,Comercial,2026-04-24 04:11:11,,Software/ERP,Acesso negado no sistema,WhatsApp,Baixa,Em andamento,Bruno Costa,,Pendente,
CH00140,Alana Sá,Operações,2026-04-01 05:19:05,2026-04-02 00:49:05,Redes,Wi-Fi instável,E-mail,Média,Fechado,Daniela Lima,19.5,Sim,5.0
CH00141,Hellena Cavalcanti,Financeiro,2026-03-28 05:49:06,2026-03-28 23:55:06,Redes,Wi-Fi instável,E-mail,Baixa,Resolvido,Ana Silva,18.1,Sim,4.0
CH00142,Ana Julia Novais,Comercial,2026-05-07 04:22:51,2026-05-08 12:16:51,Acessos,Permissão de pasta em rede,E-mail,Baixa,Resolvido,Ana Silva,31.9,Não,5.0
CH00143,Rafael Carvalho,Financeiro,2026-04-11 02:07:33,2026-04-12 10:49:33,Software/ERP,Erro ao emitir nota,Telefone,Baixa,Resolvido,Ana Silva,32.7,Não,5.0
CH00144,Vitória Novais,Comercial,2026-05-02 00:08:56,,Hardware,Computador não liga,Portal de TI,Baixa,Em andamento,Carlos Souza,,Pendente,
CH00145,Dr. Thiago Lima,Financeiro,2026-05-14 16:57:23,,Acessos,Reset de senha AD,Telefone,Média,Em andamento,Bruno Costa,,Pendente,
CH00146,Eduarda Souza,RH,2026-05-10 02:05:10,2026-05-11 16:53:10,Redes,Cabo de rede desconectado,Telefone,Alta,Resolvido,Ana Silva,38.8,Não,5.0
CH00147,Joana Sá,RH,2026-05-02 23:31:24,2026-05-04 03:13:24,Acessos,Permissão de pasta em rede,Telefone,Média,Fechado,Ana Silva,27.7,Não,4.0
CH00148,Kamilly Vargas,Logística,2026-04-10 21:33:44,2026-04-12 19:03:44,Software/ERP,Erro ao emitir nota,WhatsApp,Baixa,Reaberto,Bruno Costa,45.5,Não,5.0
CH00149,Isabella da Mota,Comercial,2026-05-07 12:10:06,2026-05-07 16:22:06,Software/ERP,Erro ao emitir nota,E-mail,Média,Resolvido,Ana Silva,4.2,Sim,3.0
CH00150,João Pedro da Costa,Financeiro,2026-04-29 14:25:45,2026-04-30 15:07:45,Software/ERP,Acesso negado no sistema,E-mail,Baixa,Resolvido,Ana Silva,24.7,Não,3.0
